STT,Tên File,Thể loại gốc (Kỳ vọng),AI Dự đoán (Thực tế),Trạng thái
1,blues_1.wav,BLUES,BLUES,PASS ✅
2,blues_2.wav,BLUES,REGGAE,FAIL ❌
3,blues_4.wav,BLUES,COUNTRY,FAIL ❌
4,blues_5.wav,BLUES,BLUES,PASS ✅
5,classical_1.wav,CLASSICAL,CLASSICAL,PASS ✅
6,classical_2.wav,CLASSICAL,CLASSICAL,PASS ✅
7,classical_3.wav,CLASSICAL,CLASSICAL,PASS ✅
8,classical_4.wav,CLASSICAL,CLASSICAL,PASS ✅
9,classical_5.wav,CLASSICAL,CLASSICAL,PASS ✅
10,disco_1.wav,DISCO,DISCO,PASS ✅
11,disco_2.wav,DISCO,CLASSICAL,FAIL ❌
12,disco_3.wav,DISCO,DISCO,PASS ✅
13,disco_4.wav,DISCO,ROCK,FAIL ❌
14,disco_5.wav,DISCO,DISCO,PASS ✅
15,hiphop_1.wav,HIPHOP,HIPHOP,PASS ✅
16,hiphop_2.mp3,HIPHOP,HIPHOP,PASS ✅
17,jazz_1.wav,JAZZ,JAZZ,PASS ✅
18,jazz_2.wav,JAZZ,COUNTRY,FAIL ❌
19,jazz_3.wav,JAZZ,JAZZ,PASS ✅
20,jazz_5.wav,JAZZ,JAZZ,PASS ✅
21,metal_1.wav,METAL,HIPHOP,FAIL ❌
22,pop_1.wav,POP,POP,PASS ✅
23,pop_2.wav,POP,HIPHOP,FAIL ❌
24,pop_3.wav,POP,POP,PASS ✅
25,pop_4.wav,POP,ROCK,FAIL ❌
26,reggae_1.wav,REGGAE,METAL,FAIL ❌
27,rock_1.mp3,ROCK,METAL,FAIL ❌
28,rock_2.wav,ROCK,ROCK,PASS ✅
29,rock_3.wav,ROCK,POP,FAIL ❌
30,rock_4.wav,ROCK,ROCK,PASS ✅
31,rock_5.wav,ROCK,ROCK,PASS ✅
